Function	中文-自动化变异详情	中文-疾病名称	ExIn_ID	中文-突变判定	参考文献-标准	Gene Symbol	Chr	Transcript	英文-疾病名称	遗传模式	疾病背景（CH）	治疗与干预（中文）	发病率(中文)	新生儿一体机包装变异
EX2_6 DEL	该变异为缺失变异，会导致DMD基因的第2-6号外显子发生缺失。已有该变异致病性的相关文献报道[1,2]。根据ACMG 2015版指南，DMD基因的EX2_6 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX2-6	致病变异	Basak J, et al. Deletional mutations of dystrophin gene and carrier detection in eastern India. Indian J Pediatr.2009 Oct;76(10):1007-12<br/>Mital A, et al. Molecular characterisation of Duchenne muscular dystrophy and phenotypic correlation. J Neurol Sci.1998 May 7;157(2):179-86	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX26_43 DEL	该变异为缺失变异，会导致DMD基因的第26-43号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX26_43 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX26-43	致病变异	Trimarco A, et al. Log-PCR: a new tool for immediate and cost-effective diagnosis of up to 85% of dystrophin gene mutations. Clin Chem.2008 Jun;54(6):973-81	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX26_44 DEL	该变异为缺失变异，会导致DMD基因的第26-44号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX26_44 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX26-44	致病变异	Zeng F, et al. Array-MLPA: comprehensive detection of deletions and duplications and its application to DMD patients. Hum Mutat.2008 Jan;29(1):190-7	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX2_7 DEL	该变异为缺失变异，会导致DMD基因的第2-7号外显子发生缺失。已有该变异致病性的相关文献报道[1,2]。根据ACMG 2015版指南，DMD基因的EX2_7 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX2-7	致病变异	Basak J, et al. Deletional mutations of dystrophin gene and carrier detection in eastern India. Indian J Pediatr.2009 Oct;76(10):1007-12<br/>Beggs AH, et al. Exploring the molecular basis for variability among patients with Becker muscular dystrophy: dystrophin gene and protein studies. Am J Hum Genet.1991 Jul;49(1):54-67	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX28_49 DEL	该变异为缺失变异，会导致DMD基因的第28-49号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX28_49 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX28-49	致病变异	Carsana A, et al. Analysis of dystrophin gene deletions indicates that the hinge III region of the protein correlates with disease severity. Ann Hum Genet.2005 May;69(Pt 3):253-9	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX30_42 DEL	该变异为缺失变异，会导致DMD基因的第30-42号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX30_42 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX30-42	致病变异	Flanigan KM, et al. Mutational spectrum of DMD mutations in dystrophinopathy patients: application of modern diagnostic techniques to a large cohort. Hum Mutat.2009 Dec;30(12):1657-66	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX3_11 DEL	该变异为缺失变异，会导致DMD基因的第3-11号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX3_11 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX3-11	致病变异	Kesari A, et al. Integrated DNA, cDNA, and protein studies in Becker muscular dystrophy show high exception to the reading frame rule. Hum Mutat.2008 May;29(5):728-37	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX3_12 DEL	该变异为缺失变异，会导致DMD基因的第3-12号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX3_12 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX3-12	致病变异	Flanigan KM, et al. Mutational spectrum of DMD mutations in dystrophinopathy patients: application of modern diagnostic techniques to a large cohort. Hum Mutat.2009 Dec;30(12):1657-66	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX3_13 DEL	该变异为缺失变异，会导致DMD基因的第3-13号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX3_13 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX3-13	致病变异	Muntoni F, et al. Deletions in the 5' region of dystrophin and resulting phenotypes. J Med Genet.1994 Nov;31(11):843-7	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX31_40 DEL	该变异为缺失变异，会导致DMD基因的第31-40号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX31_40 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX31-40	致病变异	Kohli S, et al. Gene changes in Duchenne muscular dystrophy: comparison of multiplex PCR and multiplex ligation-dependent probe amplification techniques. Neurol India.2010 Nov-Dec;58(6):852-6	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX31_43 DEL	该变异为缺失变异，会导致DMD基因的第31-43号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX31_43 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX31-43	致病变异	Zeng F, et al. Array-MLPA: comprehensive detection of deletions and duplications and its application to DMD patients. Hum Mutat.2008 Jan;29(1):190-7	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX3_15 DEL	该变异为缺失变异，会导致DMD基因的第3-15号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX3_15 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX3-15	致病变异	Flanigan KM, et al. Mutational spectrum of DMD mutations in dystrophinopathy patients: application of modern diagnostic techniques to a large cohort. Hum Mutat.2009 Dec;30(12):1657-66	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX31_57 DEL	该变异为缺失变异，会导致DMD基因的第31-57号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX31_57 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX31-57	致病变异	Flanigan KM, et al. Mutational spectrum of DMD mutations in dystrophinopathy patients: application of modern diagnostic techniques to a large cohort. Hum Mutat.2009 Dec;30(12):1657-66	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX3_16 DEL	该变异为缺失变异，会导致DMD基因的第3-16号外显子发生缺失。已有该变异致病性的相关文献报道[1,2]。根据ACMG 2015版指南，DMD基因的EX3_16 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX3-16	致病变异	White S, et al. Comprehensive detection of genomic duplications and deletions in the DMD gene, by use of multiplex amplifiable probe hybridization. Am J Hum Genet.2002 Aug;71(2):365-74<br/>Dent KM, et al. Improved molecular diagnosis of dystrophinopathies in an unselected clinical cohort. Am J Med Genet A.2005 Apr 30;134(3):295-8	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
EX3_17 DEL	该变异为缺失变异，会导致DMD基因的第3-17号外显子发生缺失。已有该变异致病性的相关文献报道[1]。根据ACMG 2015版指南，DMD基因的EX3_17 DEL变异为致病变异。	进行性假肥大性肌营养不良 	EX3-17	致病变异	Lalic T, et al. Deletion and duplication screening in the DMD gene using MLPA. Eur J Hum Genet.2005 Nov;13(11):1231-4	DMD	X	NM_004006.2		XR	进行性假肥大性肌营养不良（Duchenne Muscular Dystrophy），是最常见的一类进行性肌营养不良症，根据严重程度可分为杜氏肌营养不良症（DMD）及贝氏肌营养不良症（BMD）。本病特点为进行性肌萎缩，预后差。DMD患儿双侧腓肠肌逐渐呈假性肥大，腱反射减弱或消失，近端肌无力导致行走困难，随着病情加重，约在12岁前丧失行走能力，20岁左右死于呼吸衰竭或心力衰竭。BMD患者的临床表现与DMD相似但较轻，发病年龄较晚，多数患者在20岁以后仍可以自由行走。DMD和BMD均呈X-连锁隐性遗传，目前已知的致病基因为DMD基因，其中约60%-70%为1个或多个外显子的缺失突变，约5%-10%为重复突变，另有约25%-35%为点突变（单碱基突变及小的碱基插入缺失突变）。有1/3病例为散发，没有家族史，是由新发生的基因突变（de novo）造成的。	不同个体的发病年龄和疾病严重程度不同，但由于扩张型心肌病风险，建议对无症状个体以及突变阳性女性进行监测（包括心电图和超声心动图）；对于患有心肌病的患者，药物治疗、心脏起搏器和ICD可以降低发病率和死亡率，早期诊断和治疗可以改善预后。一些进行性/难治性疾病的患者可能需要心脏移植。	进行性假肥大性肌营养不良主要影响男性，发生率为1/3300。女性携带者通常无症状，但一小部分女性携带者表现出较温和的疾病形式(女性携带者表现为杜氏肌营养不良的症状形式)。	是
